id,name,description,created_at,updated_at
1,Majesties,Preguntas sobre el juego base de League of Legends,2025-07-30 21:14:17.279452+00,2025-08-04 00:15:42.689744+00
2,Bloodlines,Preguntas sobre campeones específicos y sus habilidades,2025-07-30 21:14:17.279452+00,2025-08-04 00:16:41.871358+00
3,League of Legends,"Preguntas sobre objetos, builds y estadísticas",2025-07-30 21:14:17.279452+00,2025-08-04 00:17:13.629489+00
4,Majesties_2,"Preguntas sobre el mapa, dragones, barón y torretas",2025-07-30 21:14:17.279452+00,2025-08-04 00:16:30.162899+00
5,Bloodlines_2,Preguntas sobre el esports y la escena competitiva,2025-07-30 21:14:17.279452+00,2025-08-04 00:16:49.956062+00
6,League of Legends_2,Preguntas sobre la historia y el universo de Runeterra,2025-07-30 21:14:17.279452+00,2025-08-04 00:17:23.171273+00
