id,user_id,ranked_id,ranked_name,ranked_username,bloodline,action,title,description,metadata,created_at
14173,d7895f20-abd6-4552-a559-63ba2626b88f,27,Gemy,GEM Vaelardorcel#GEM,Zephiroth,MASTERY_LEVEL_UP,Mastery Upgrade!,Gemy reached mastery level 2 with Nami in GEM Vaelardorcel#GEM,"{""to"":""2"",""from"":""0"",""points"":""100"",""championId"":""267"",""championName"":""Nami""}",2026-02-01 23:55:15.291894+00
14174,d7895f20-abd6-4552-a559-63ba2626b88f,27,Gemy,GEM Vaelardorcel#GEM,Zephiroth,MASTERY_LEVEL_UP,Mastery Upgrade!,Gemy reached mastery level 2 with Amumu in GEM Vaelardorcel#GEM,"{""to"":""2"",""from"":""0"",""points"":""100"",""championId"":""32"",""championName"":""Amumu""}",2026-02-01 23:55:15.491541+00
14175,d7895f20-abd6-4552-a559-63ba2626b88f,27,Gemy,GEM Vaelardorcel#GEM,Zephiroth,MASTERY_LEVEL_UP,Mastery Upgrade!,Gemy reached mastery level 2 with Nautilus in GEM Vaelardorcel#GEM,"{""to"":""2"",""from"":""0"",""points"":""100"",""championId"":""111"",""championName"":""Nautilus""}",2026-02-01 23:55:15.731945+00
14176,d7895f20-abd6-4552-a559-63ba2626b88f,27,Gemy,GEM Vaelardorcel#GEM,Zephiroth,MASTERY_LEVEL_UP,Mastery Upgrade!,Gemy reached mastery level 2 with Samira in GEM Vaelardorcel#GEM,"{""to"":""2"",""from"":""0"",""points"":""100"",""championId"":""360"",""championName"":""Samira""}",2026-02-01 23:55:15.907736+00
14177,d7895f20-abd6-4552-a559-63ba2626b88f,27,Gemy,GEM Vaelardorcel#GEM,Zephiroth,MASTERY_LEVEL_UP,Mastery Upgrade!,Gemy reached mastery level 2 with Cho'Gath in GEM Vaelardorcel#GEM,"{""to"":""2"",""from"":""0"",""points"":""100"",""championId"":""31"",""championName"":""Cho'Gath""}",2026-02-01 23:55:16.073693+00
14178,d7895f20-abd6-4552-a559-63ba2626b88f,27,Gemy,GEM Vaelardorcel#GEM,Zephiroth,MASTERY_LEVEL_UP,Mastery Upgrade!,Gemy reached mastery level 2 with Dr. Mundo in GEM Vaelardorcel#GEM,"{""to"":""2"",""from"":""0"",""points"":""100"",""championId"":""36"",""championName"":""Dr. Mundo""}",2026-02-01 23:55:16.320012+00
14179,d7895f20-abd6-4552-a559-63ba2626b88f,27,Gemy,GEM Vaelardorcel#GEM,Zephiroth,MASTERY_LEVEL_UP,Mastery Upgrade!,Gemy reached mastery level 2 with Maokai in GEM Vaelardorcel#GEM,"{""to"":""2"",""from"":""0"",""points"":""100"",""championId"":""57"",""championName"":""Maokai""}",2026-02-01 23:55:16.614661+00
14180,d7895f20-abd6-4552-a559-63ba2626b88f,27,Gemy,GEM Vaelardorcel#GEM,Zephiroth,MASTERY_LEVEL_UP,Mastery Upgrade!,Gemy reached mastery level 2 with Zilean in GEM Vaelardorcel#GEM,"{""to"":""2"",""from"":""0"",""points"":""100"",""championId"":""26"",""championName"":""Zilean""}",2026-02-01 23:55:16.854213+00
14181,d7895f20-abd6-4552-a559-63ba2626b88f,27,Gemy,GEM Vaelardorcel#GEM,Zephiroth,MASTERY_LEVEL_UP,Mastery Upgrade!,Gemy reached mastery level 2 with Ziggs in GEM Vaelardorcel#GEM,"{""to"":""2"",""from"":""0"",""points"":""100"",""championId"":""115"",""championName"":""Ziggs""}",2026-02-01 23:55:17.170379+00
14182,d7895f20-abd6-4552-a559-63ba2626b88f,27,Gemy,GEM Vaelardorcel#GEM,Zephiroth,MASTERY_LEVEL_UP,Mastery Upgrade!,Gemy reached mastery level 2 with Brand in GEM Vaelardorcel#GEM,"{""to"":""2"",""from"":""0"",""points"":""100"",""championId"":""63"",""championName"":""Brand""}",2026-02-01 23:55:17.389081+00
14183,d7895f20-abd6-4552-a559-63ba2626b88f,27,Gemy,GEM Vaelardorcel#GEM,Zephiroth,MASTERY_LEVEL_UP,Mastery Upgrade!,Gemy reached mastery level 2 with Vel'Koz in GEM Vaelardorcel#GEM,"{""to"":""2"",""from"":""0"",""points"":""100"",""championId"":""161"",""championName"":""Vel'Koz""}",2026-02-01 23:55:17.646301+00
14184,d7895f20-abd6-4552-a559-63ba2626b88f,27,Gemy,GEM Vaelardorcel#GEM,Zephiroth,MASTERY_LEVEL_UP,Mastery Upgrade!,Gemy reached mastery level 2 with Fiddlesticks in GEM Vaelardorcel#GEM,"{""to"":""2"",""from"":""0"",""points"":""100"",""championId"":""9"",""championName"":""Fiddlesticks""}",2026-02-01 23:55:17.826819+00
14185,d7895f20-abd6-4552-a559-63ba2626b88f,27,Gemy,GEM Vaelardorcel#GEM,Zephiroth,MASTERY_LEVEL_UP,Mastery Upgrade!,Gemy reached mastery level 2 with Teemo in GEM Vaelardorcel#GEM,"{""to"":""2"",""from"":""0"",""points"":""100"",""championId"":""17"",""championName"":""Teemo""}",2026-02-01 23:55:18.071877+00
14186,d7895f20-abd6-4552-a559-63ba2626b88f,27,Gemy,GEM Vaelardorcel#GEM,Zephiroth,MASTERY_LEVEL_UP,Mastery Upgrade!,Gemy reached mastery level 1 with Blitzcrank in GEM Vaelardorcel#GEM,"{""to"":""1"",""from"":""0"",""points"":""50"",""championId"":""53"",""championName"":""Blitzcrank""}",2026-02-01 23:55:18.285224+00
14187,d7895f20-abd6-4552-a559-63ba2626b88f,27,Gemy,GEM Vaelardorcel#GEM,Zephiroth,MASTERY_LEVEL_UP,Mastery Upgrade!,Gemy reached mastery level 1 with Garen in GEM Vaelardorcel#GEM,"{""to"":""1"",""from"":""0"",""points"":""50"",""championId"":""86"",""championName"":""Garen""}",2026-02-01 23:55:18.490057+00
14188,d7895f20-abd6-4552-a559-63ba2626b88f,27,Gemy,GEM Vaelardorcel#GEM,Zephiroth,MASTERY_LEVEL_UP,Mastery Upgrade!,Gemy reached mastery level 1 with Jax in GEM Vaelardorcel#GEM,"{""to"":""1"",""from"":""0"",""points"":""50"",""championId"":""24"",""championName"":""Jax""}",2026-02-01 23:55:18.683967+00
